LR,DT,RF,Kmeans
"[26.1621424   4.02563465 15.38640243 ...  7.88982499  4.89465678
  8.90113783]","[18.12686869  5.85603015 18.12686869 ...  5.85603015  5.85603015
  5.85603015]","[19.92522166  4.95310912 19.08027785 ...  5.62647859  5.09716966
  5.62647859]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.19088292  4.08946991 15.32229829 ...  7.92081785  4.89750957
  8.9923985 ]","[18.1156      5.85745636 18.1156     ...  5.85745636  5.85745636
  5.85745636]","[19.2303097   5.19769415 18.19457375 ...  5.83751982  5.38359115
  5.83751982]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.17504239  4.22222519 15.43332708 ...  7.85639966  4.90419436
  8.94071746]","[20.13547619  5.8629484  20.13547619 ...  5.8629484   5.8629484
  5.8629484 ]","[19.37116054  4.98939064 18.82555455 ...  5.8298988   5.20185815
  5.8298988 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.1502049   4.29215956 15.43127942 ...  7.83982801  4.82230711
  8.82475448]","[20.20527559  5.86602439 20.20527559 ...  5.86602439  5.86602439
  5.86602439]","[19.85812863  5.37631961 18.62809009 ...  5.77401054  5.43532088
  5.77401054]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.57321513  4.23098047 15.43081625 ...  7.80482547  4.80739105
  8.83110292]","[18.2161165   5.86532688 18.2161165  ...  5.86532688  5.86532688
  5.86532688]","[19.41557464  4.94369221 18.77046403 ...  5.72734228  5.11920746
  5.72734228]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.61214554  4.27882195 15.38285875 ...  7.77183151  4.72533917
  8.76871431]","[18.13711538  5.55595174 18.13711538 ...  5.55595174  5.55595174
  5.55595174]","[19.10175651  5.07010999 18.21915509 ...  5.6620217   5.23852452
  5.6620217 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   35.00  16.50
2918   19.03  45.77
2919    4.75   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.66412437  4.31098509 15.48476875 ...  7.767766    4.70568752
  8.72073674]","[18.13711538  5.54664894 18.13711538 ...  5.54664894  5.54664894
  5.54664894]","[20.14340323  4.9058824  18.61843328 ...  5.75531894  5.260353
  5.75531894]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.68303216  4.33293903 15.48698127 ...  7.76410735  4.70992553
  8.6979605 ]","[18.24533333  5.54375328 18.24533333 ...  5.54375328  5.54375328
  5.54375328]","[20.05557524  4.82629598 17.84060294 ...  5.6655767   5.08522716
  5.6655767 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.78091037  4.29323947 15.62373173 ...  7.77634442  4.70361531
  8.6726042 ]","[18.20056604  5.5194026  18.20056604 ...  5.5194026   5.5194026
  5.5194026 ]","[19.90773705  4.43182938 18.14242091 ...  5.68691649  4.77711437
  5.68691649]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.85502839  4.29406869 15.6138311  ...  7.79991269  4.62612325
  8.59691906]","[16.56576471  5.51282051 16.56576471 ...  5.51282051  5.51282051
  5.51282051]","[19.34336167  4.56160537 18.26091659 ...  5.66607271  4.90936361
  5.66607271]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.74889523  4.27771536 15.63529342 ...  7.75995904  4.67694727
  8.63572255]","[16.56576471  5.52066158 16.56576471 ...  5.52066158  5.52066158
  5.52066158]","[19.62637378  4.33262519 17.7493997  ...  5.79811614  4.63427761
  5.79811614]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.72789562  4.23326468 15.62053359 ...  7.77327681  4.67377102
  8.65985215]","[16.49813953  5.53415617 16.49813953 ...  5.53415617  5.53415617
  5.53415617]","[18.5693896   4.7381855  17.97114828 ...  5.70740359  5.1243273
  5.70740359]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.51094836  4.18727154 15.64174736 ...  7.75004619  4.71114939
  8.66508883]","[16.54363636  5.53415617 16.54363636 ...  5.53415617  5.53415617
  5.53415617]","[18.29425685  4.53113857 17.45900093 ...  5.64071883  4.86238582
  5.64071883]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.4725045   4.22998524 15.6322937  ...  7.74802423  4.74728024
  8.65679157]","[16.54363636  5.52932668 16.54363636 ...  5.52932668  5.52932668
  5.52932668]","[18.21631826  4.50085297 17.3646683  ...  5.58691098  4.76386775
  5.58691098]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.42560339  4.19595528 15.66351724 ...  7.75721252  4.68333399
  8.64222038]","[16.50766667  5.55100985 16.50766667 ...  5.55100985  5.55100985
  5.55100985]","[19.90537485  4.39711355 17.59916529 ...  5.828256    4.93802314
  5.828256  ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[26.4508124   4.15317947 15.67210555 ...  7.74389374  4.69123799
  8.68202901]","[16.50766667  5.55291262 16.50766667 ...  5.55291262  5.55291262
  5.55291262]","[18.77610607  4.53503939 17.64059376 ...  5.74602632  5.03489229
  5.74602632]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[25.91126177  4.177457   15.52932507 ...  7.75693652  4.70067593
  8.73251817]","[16.45263736  5.54783654 16.45263736 ...  5.54783654  5.54783654
  5.54783654]","[18.68370807  4.6062511  18.07449648 ...  5.60146121  4.838889
  5.60146121]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[25.89523822  4.13401306 15.52428544 ...  7.75012064  4.67582107
  8.6991334 ]","[16.45263736  5.53285036 16.45263736 ...  5.53285036  5.53285036
  5.53285036]","[18.21927639  4.51305672 17.34250021 ...  5.65719279  4.74103666
  5.65719279]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[25.99489319  4.22617877 15.55399096 ...  7.74444711  4.65252483
  8.69151664]","[16.45263736  5.53402353 16.45263736 ...  5.53402353  5.53402353
  5.53402353]","[19.33044666  4.63743128 17.59434559 ...  5.61728735  4.78614364
  5.61728735]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2917   15.00  16.50
2918   19.03  45.77
2919    6.93   5.89
2920    4.50   3.25
2921    4.50   5.85

[2922 rows x 2 columns]"
"[25.96896648  4.31680155 15.6084094  ...  7.7809124   4.58797455
  8.67404318]","[16.45263736  5.52480278 16.45263736 ...  5.52480278  5.52480278
  5.52480278]","[18.78760636  4.73905312 17.98920983 ...  5.60020218  4.78992536
  5.60020218]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.15005279  4.31535888 15.33265591 ...  7.56578684  4.48762274
  8.56233931]","[16.56184783  5.52590278 16.56184783 ...  5.52590278  5.52590278
  5.52590278]","[19.3751675   4.47211071 17.84866246 ...  5.61848323  4.59275901
  5.61848323]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.24512362  4.23186088 15.34716725 ...  7.59705091  4.54683256
  8.65628791]","[16.71404255  5.51196796 16.71404255 ...  5.51196796  5.51196796
  5.51196796]","[19.95054192  4.62464149 18.40902631 ...  5.59480658  4.75048807
  5.59480658]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.2455678   4.17674351 15.39137554 ...  7.57549119  4.48649406
  8.60129476]","[16.71404255  5.49621315 16.71404255 ...  5.49621315  5.49621315
  5.49621315]","[19.41008444  4.70920924 17.48135164 ...  5.59973646  4.83170694
  5.59973646]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.12251031  4.02546918 15.33645165 ...  7.58247542  4.54748988
  8.66204381]","[16.64652632  5.49671171 16.64652632 ...  5.49671171  5.49671171
  5.49671171]","[18.24214237  4.39083776 18.40731373 ...  5.62072891  4.54649277
  5.62072891]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.06979554  4.03367533 15.28351608 ...  7.60631442  4.59417412
  8.68124304]","[16.59357143  5.49224719 16.59357143 ...  5.49224719  5.49224719
  5.49224719]","[19.10067266  4.61393889 17.83553589 ...  5.57421499  4.72840625
  5.57421499]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.11819029  3.96750212 15.30388403 ...  7.56128693  4.58959103
  8.60287857]","[16.59357143  5.49571429 16.59357143 ...  5.49571429  5.49571429
  5.49571429]","[19.7316154   4.33443823 17.93039892 ...  5.57316849  4.48174211
  5.57316849]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.19042802  3.90271986 15.28001451 ...  7.54090881  4.60330105
  8.61258352]","[16.59357143  5.49516704 16.59357143 ...  5.49516704  5.49516704
  5.49516704]","[18.26297419  4.22258673 18.18236268 ...  5.60310557  4.36233178
  5.60310557]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.1491226   3.88826799 15.25158918 ...  7.5946002   4.56405735
  8.56053507]","[16.59357143  5.48676211 16.59357143 ...  5.48676211  5.48676211
  5.48676211]","[18.26738842  4.45637171 17.98674085 ...  5.54862643  4.55516154
  5.54862643]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.26828378  3.9150849  15.32161158 ...  7.61558813  4.5973261
  8.58738208]","[16.59357143  3.37942308 16.59357143 ...  5.65439898  3.37942308
  5.65439898]","[19.40124596  4.43338074 18.14953213 ...  5.53749925  4.48354378
  5.53749925]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.1657806   3.93184298 15.33877385 ...  7.60652661  4.56508076
  8.5284977 ]","[16.63808081  3.37940191 16.63808081 ...  5.64688608  3.37940191
  5.64688608]","[18.75089545  4.28362105 18.00308174 ...  5.52805759  4.37730299
  5.52805759]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.23683703  3.93630493 15.34936213 ...  7.60628855  4.53337705
  8.42460138]","[16.5992      5.47440347 16.5992     ...  5.47440347  5.47440347
  5.47440347]","[19.99167182  4.60979941 18.38583543 ...  5.47253588  4.69277243
  5.47253588]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.21354008  3.941668   15.36970583 ...  7.61849201  4.53268731
  8.42714974]","[16.5992      5.48465517 16.5992     ...  5.48465517  5.48465517
  5.48465517]","[19.00114198  4.38520755 18.17190461 ...  5.52703987  4.50469156
  5.52703987]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.23243183  3.9190951  15.3719601  ...  7.61544615  4.52397341
  8.4101643 ]","[16.56851485  5.48328358 16.56851485 ...  5.48328358  5.48328358
  5.48328358]","[18.42729699  4.51831739 17.60901783 ...  5.54613953  4.62118248
  5.54613953]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.26826394  3.91981113 15.37575281 ...  7.63038206  4.49857986
  8.43224442]","[18.0315748   5.48487288 18.0315748  ...  5.48487288  5.48487288
  5.48487288]","[19.05634796  4.63227894 18.26660454 ...  5.63959407  4.82782546
  5.63959407]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.38927031  3.82766652 15.45281768 ...  7.57605219  4.63623857
  8.54215431]","[17.88084615  5.4854334  17.88084615 ...  5.4854334   5.4854334
  5.4854334 ]","[18.29719665  4.71640196 17.67250216 ...  5.47255427  4.76874571
  5.47255427]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.3539474   3.78044373 15.40822774 ...  7.56890261  4.6883266
  8.57541937]","[17.89780303  5.48444211 17.89780303 ...  5.48444211  5.48444211
  5.48444211]","[19.69331614  4.74781825 18.1842193  ...  5.54120978  4.77135722
  5.54120978]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.26715977  3.52442926 15.5454752  ...  7.50372285  4.70523258
  8.56634708]","[16.4709434   5.50242171 16.4709434  ...  5.50242171  5.50242171
  5.50242171]","[19.81698418  5.0260373  17.90869854 ...  5.60497199  5.08309376
  5.60497199]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.52289751  3.54857808 15.54060751 ...  7.48570886  4.73219275
  8.54316363]","[16.4709434   5.50592133 16.4709434  ...  5.50592133  5.50592133
  5.50592133]","[19.20222794  4.84169001 17.87458477 ...  5.4889242   4.97242269
  5.4889242 ]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.48188889  3.46778512 15.4737606  ...  7.3860687   4.75369394
  8.54322243]","[16.4709434   5.50375258 16.4709434  ...  5.50375258  5.50375258
  5.50375258]","[19.71758132  4.59158546 17.76458025 ...  5.38579478  4.67463947
  5.38579478]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.49337015  3.46422622 15.46382952 ...  7.39002186  4.74571681
  8.54325739]","[16.50925234  5.50777551 16.50925234 ...  5.50777551  5.50777551
  5.50777551]","[19.0251793   4.74466482 17.8207375  ...  5.56599568  4.88416622
  5.56599568]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.56569624  3.52101195 15.39217126 ...  7.38784909  4.77593648
  8.54695582]","[16.53550459  5.50557809 16.53550459 ...  5.50557809  5.50557809
  5.50557809]","[19.90387786  4.84716761 17.84111418 ...  5.48392346  4.88021708
  5.48392346]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.45896459  3.56139398 15.39954972 ...  7.40196347  4.73235345
  8.58575273]","[16.6672973   5.50455645 16.6672973  ...  5.50455645  5.50455645
  5.50455645]","[18.9419558   4.51439763 17.5769716  ...  5.44855944  4.57517893
  5.44855944]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.24025798  3.53754759 15.45237154 ...  7.45420814  4.76179844
  8.60621339]","[16.55150442  5.52926148 16.55150442 ...  5.52926148  5.52926148
  5.52926148]","[18.60535513  4.69775783 17.19099004 ...  5.57395936  4.81886281
  5.57395936]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.20243609  3.56483126 15.4453615  ...  7.49330437  4.76167309
  8.61550939]","[16.51495652  5.52625743 16.51495652 ...  5.52625743  5.52625743
  5.52625743]","[19.07318926  4.67085718 17.43333723 ...  5.52934084  4.81582651
  5.52934084]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.18871373  3.58649909 15.4880842  ...  7.5702588   4.74175304
  8.62841582]","[16.52689655  5.52426326 16.52689655 ...  5.52426326  5.52426326
  5.52426326]","[20.38221055  4.61698173 18.61605754 ...  5.46650592  4.72802022
  5.46650592]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.17239442  3.6537329  15.53526402 ...  7.57520333  4.77122191
  8.61666021]","[16.52689655  5.52939453 16.52689655 ...  5.52939453  5.52939453
  5.52939453]","[19.04865035  4.62572596 18.2250956  ...  5.46861808  4.71731315
  5.46861808]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.47597551  3.59590894 15.77860355 ...  7.76226765  4.72100931
  8.63248146]","[16.38683333  5.52939453 16.38683333 ...  5.52939453  5.52939453
  5.52939453]","[19.75682174  4.54038307 18.57242056 ...  5.56366215  4.68315568
  5.56366215]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.42887104  3.60383165 15.77998817 ...  7.77044857  4.68200862
  8.64862001]","[16.42909091  5.53738372 16.42909091 ...  5.53738372  5.53738372
  5.53738372]","[20.81934092  4.53036223 18.19369649 ...  5.43106884  4.74509473
  5.43106884]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.27516627  3.59941065 15.78417122 ...  7.72822571  4.6735034
  8.64395082]","[16.38918699  5.535      16.38918699 ...  5.535       5.535
  5.535     ]","[20.47576567  4.4948771  18.20991703 ...  5.40833638  4.66965378
  5.40833638]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[26.00042882  3.65229126 15.79771315 ...  7.69455156  4.66745857
  8.61388456]","[16.39896     5.53156069 16.39896    ...  5.53156069  5.53156069
  5.53156069]","[19.23212256  4.6036668  18.19993484 ...  5.50835255  4.74929438
  5.50835255]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
"[25.76643825  3.66360122 15.64887702 ...  7.67760611  4.74014729
  8.70959425]","[16.34222222  5.52471374 16.34222222 ...  5.52471374  5.52471374
  5.52471374]","[19.77202238  4.72349227 17.99655519 ...  5.35136583  4.92437644
  5.35136583]","      Pred_Y  Act_Y
0      17.75  17.75
1       3.25   3.25
2      13.28  13.28
3      17.65  17.65
4      33.13  33.13
...      ...    ...
2920   15.00  16.50
2921   19.03  45.77
2922    6.93   5.89
2923    4.50   3.25
2924    4.50   5.85

[2925 rows x 2 columns]"
